Rf	Ru	eps	epsp	RERHO	IMRHO	alpha_f	alpha_u	delta_f	delta_u	status
0.05	0.05	0.1	0.01	0.99	14.134725	8.3500e-12	8.3500e-12	7.2749e-15	7.9231e-16	EXCLUDED
0.05	0.05	0.1	0.1	0.99	14.134725	8.3500e-12	8.3500e-12	7.2749e-15	7.2749e-15	EXCLUDED
0.05	0.08	0.01	0.01	0.99	14.134725	8.3500e-12	2.2744e-10	7.9231e-16	1.4501e-14	EXCLUDED
0.05	0.08	0.01	0.1	0.99	14.134725	8.3500e-12	2.2744e-10	7.9231e-16	1.3315e-13	EXCLUDED
0.05	0.08	0.1	0.01	0.99	14.134725	8.3500e-12	2.2744e-10	7.2749e-15	1.4501e-14	EXCLUDED
0.05	0.08	0.1	0.1	0.99	14.134725	8.3500e-12	2.2744e-10	7.2749e-15	1.3315e-13	EXCLUDED
0.08	0.02	0.01	0.01	0.99	14.134725	2.2744e-10	1.3573e-14	1.4501e-14	1.7691e-18	EXCLUDED
0.08	0.02	0.01	0.1	0.99	14.134725	2.2744e-10	1.3573e-14	1.4501e-14	1.6243e-17	EXCLUDED
0.08	0.02	0.1	0.01	0.99	14.134725	2.2744e-10	1.3573e-14	1.3315e-13	1.7691e-18	EXCLUDED
0.08	0.02	0.1	0.1	0.99	14.134725	2.2744e-10	1.3573e-14	1.3315e-13	1.6243e-17	EXCLUDED
0.08	0.05	0.01	0.01	0.99	14.134725	2.2744e-10	8.3500e-12	1.4501e-14	7.9231e-16	EXCLUDED
0.08	0.05	0.01	0.1	0.99	14.134725	2.2744e-10	8.3500e-12	1.4501e-14	7.2749e-15	EXCLUDED
0.08	0.05	0.1	0.01	0.99	14.134725	2.2744e-10	8.3500e-12	1.3315e-13	7.9231e-16	EXCLUDED
0.08	0.05	0.1	0.1	0.99	14.134725	2.2744e-10	8.3500e-12	1.3315e-13	7.2749e-15	EXCLUDED
0.12	0.02	0.01	0.01	0.99	14.134725	4.0030e-09	1.3573e-14	1.3197e-13	1.7691e-18	EXCLUDED
0.12	0.02	0.01	0.1	0.99	14.134725	4.0030e-09	1.3573e-14	1.3197e-13	1.6243e-17	EXCLUDED
0.12	0.02	0.1	0.01	0.99	14.134725	4.0030e-09	1.3573e-14	1.2117e-12	1.7691e-18	EXCLUDED
0.12	0.02	0.1	0.1	0.99	14.134725	4.0030e-09	1.3573e-14	1.2117e-12	1.6243e-17	EXCLUDED
0.12	0.05	0.01	0.01	0.99	14.134725	4.0030e-09	8.3500e-12	1.3197e-13	7.9231e-16	EXCLUDED
0.12	0.05	0.01	0.1	0.99	14.134725	4.0030e-09	8.3500e-12	1.3197e-13	7.2749e-15	EXCLUDED
0.12	0.05	0.1	0.01	0.99	14.134725	4.0030e-09	8.3500e-12	1.2117e-12	7.9231e-16	EXCLUDED
0.12	0.05	0.1	0.1	0.99	14.134725	4.0030e-09	8.3500e-12	1.2117e-12	7.2749e-15	EXCLUDED
0.1732	0.02	0.01	0.01	0.99	14.134725	5.5225e-08	1.3573e-14	6.1441e-13	1.7691e-18	EXCLUDED
0.1732	0.02	0.01	0.1	0.99	14.134725	5.5225e-08	1.3573e-14	6.1441e-13	1.6243e-17	EXCLUDED
0.1732	0.02	0.1	0.01	0.99	14.134725	5.5225e-08	1.3573e-14	5.6414e-12	1.7691e-18	EXCLUDED
0.1732	0.02	0.1	0.1	0.99	14.134725	5.5225e-08	1.3573e-14	5.6414e-12	1.6243e-17	EXCLUDED
0.1732	0.05	0.01	0.01	0.99	14.134725	5.5225e-08	8.3500e-12	6.1441e-13	7.9231e-16	EXCLUDED
0.1732	0.05	0.01	0.1	0.99	14.134725	5.5225e-08	8.3500e-12	6.1441e-13	7.2749e-15	EXCLUDED
0.1732	0.05	0.1	0.01	0.99	14.134725	5.5225e-08	8.3500e-12	5.6414e-12	7.9231e-16	EXCLUDED
0.1732	0.05	0.1	0.1	0.99	14.134725	5.5225e-08	8.3500e-12	5.6414e-12	7.2749e-15	EXCLUDED
0.08	0.08	0.01	0.01	0.9	14.134725	2.2736e-10	2.2736e-10	1.4503e-14	1.4503e-14	VISIBLE
0.08	0.08	0.01	0.1	0.9	14.134725	2.2736e-10	2.2736e-10	1.4503e-14	1.3317e-13	VISIBLE
0.08	0.08	0.1	0.01	0.9	14.134725	2.2736e-10	2.2736e-10	1.3317e-13	1.4503e-14	VISIBLE
0.08	0.08	0.1	0.1	0.9	14.134725	2.2736e-10	2.2736e-10	1.3317e-13	1.3317e-13	VISIBLE
0.08	0.12	0.01	0.01	0.9	14.134725	2.2736e-10	4.0019e-09	1.4503e-14	1.3205e-13	VISIBLE
0.08	0.12	0.01	0.1	0.9	14.134725	2.2736e-10	4.0019e-09	1.4503e-14	1.2125e-12	VISIBLE
0.08	0.12	0.1	0.01	0.9	14.134725	2.2736e-10	4.0019e-09	1.3317e-13	1.3205e-13	VISIBLE
0.08	0.12	0.1	0.1	0.9	14.134725	2.2736e-10	4.0019e-09	1.3317e-13	1.2125e-12	VISIBLE
0.08	0.1732	0.01	0.01	0.9	14.134725	2.2736e-10	5.5222e-08	1.4503e-14	6.1538e-13	VISIBLE
0.08	0.1732	0.01	0.1	0.9	14.134725	2.2736e-10	5.5222e-08	1.4503e-14	5.6503e-12	VISIBLE
0.08	0.1732	0.1	0.01	0.9	14.134725	2.2736e-10	5.5222e-08	1.3317e-13	6.1538e-13	VISIBLE
0.08	0.1732	0.1	0.1	0.9	14.134725	2.2736e-10	5.5222e-08	1.3317e-13	5.6503e-12	VISIBLE
0.12	0.08	0.01	0.01	0.9	14.134725	4.0019e-09	2.2736e-10	1.3205e-13	1.4503e-14	VISIBLE
0.12	0.08	0.01	0.1	0.9	14.134725	4.0019e-09	2.2736e-10	1.3205e-13	1.3317e-13	VISIBLE
0.12	0.08	0.1	0.01	0.9	14.134725	4.0019e-09	2.2736e-10	1.2125e-12	1.4503e-14	VISIBLE
0.12	0.08	0.1	0.1	0.9	14.134725	4.0019e-09	2.2736e-10	1.2125e-12	1.3317e-13	VISIBLE
0.12	0.12	0.01	0.01	0.9	14.134725	4.0019e-09	4.0019e-09	1.3205e-13	1.3205e-13	VISIBLE
0.12	0.12	0.01	0.1	0.9	14.134725	4.0019e-09	4.0019e-09	1.3205e-13	1.2125e-12	VISIBLE
0.12	0.12	0.1	0.01	0.9	14.134725	4.0019e-09	4.0019e-09	1.2125e-12	1.3205e-13	VISIBLE
0.12	0.12	0.1	0.1	0.9	14.134725	4.0019e-09	4.0019e-09	1.2125e-12	1.2125e-12	VISIBLE
0.12	0.1732	0.01	0.01	0.9	14.134725	4.0019e-09	5.5222e-08	1.3205e-13	6.1538e-13	VISIBLE
0.12	0.1732	0.01	0.1	0.9	14.134725	4.0019e-09	5.5222e-08	1.3205e-13	5.6503e-12	VISIBLE
0.12	0.1732	0.1	0.01	0.9	14.134725	4.0019e-09	5.5222e-08	1.2125e-12	6.1538e-13	VISIBLE
0.12	0.1732	0.1	0.1	0.9	14.134725	4.0019e-09	5.5222e-08	1.2125e-12	5.6503e-12	VISIBLE
0.1732	0.08	0.01	0.01	0.9	14.134725	5.5222e-08	2.2736e-10	6.1538e-13	1.4503e-14	TESTED
